fecha,compra,venta
2024-09-18,937.358,994.738
2024-09-17,937.813,995.631
2024-09-16,937.597,995.729
2024-09-13,936.784,995.565
2024-09-12,936.137,994.605
2024-09-11,936.507,993.414
2024-09-10,935.77,994.237
2024-09-09,934.867,993.341
2024-09-06,932.902,990.312
2024-09-05,935.009,991.796
2024-09-04,933.143,990.972
2024-09-03,932.644,991.122
2024-09-02,932.964,990.793
2024-08-30,932.283,991.421
2024-08-29,930.04,988.063
2024-08-28,929.606,988.626
2024-08-27,929.739,988.098
2024-08-26,927.711,985.236
2024-08-23,927.226,986.045
2024-08-22,925.376,984.195
2024-08-21,925.485,983.641
2024-08-20,924.205,983.025
2024-08-19,924.186,983.005
2024-08-16,923.677,982.496
2024-08-15,923.388,980.765
2024-08-14,923.723,979.337
2024-08-13,922.573,981.392
2024-08-12,922.238,981.386
2024-08-09,921.932,980.752
2024-08-08,918.046,977.027
2024-08-07,919.28,977.436
2024-08-06,918.571,977.152
2024-08-05,917.738,976.909
2024-08-02,916.233,972.408
2024-08-01,914.138,971.501
2024-07-31,913.27,970.88
2024-07-30,912.877,971.074
2024-07-29,911.949,970.804
2024-07-26,910.514,969.05
2024-07-25,909.783,968.414
2024-07-24,909.352,967.661
2024-07-23,907.245,964.389
2024-07-22,908.114,966.23
2024-07-19,905.623,963.127
2024-07-18,904.881,962.106
2024-07-17,904.692,961.917
2024-07-16,902.956,960.89
2024-07-15,903.728,958.099
2024-07-12,902.067,959.993
2024-07-11,901.869,956.913
2024-07-10,901.37,957.914
2024-07-08,900.431,958.355
2024-07-05,898.275,956.018
2024-07-04,897.01,951.951
2024-07-03,896.874,954.099
2024-07-02,896.036,953.975
2024-07-01,895.45,953.748
2024-06-28,892.533,950.42
2024-06-27,891.279,948.678
2024-06-26,890.692,947.21
2024-06-25,890.44,948.546
2024-06-24,889.922,947.735
2024-06-19,887.11,944.925
2024-06-18,886.139,943.658
2024-06-14,884.255,941.934
2024-06-13,884.089,941.608
2024-06-12,884.161,936.541
2024-06-11,883.119,938.368
2024-06-10,882.716,940.563
2024-06-06,882.524,936.708
2024-06-05,880.303,938.141
2024-06-04,881.068,935.683
2024-06-03,878.724,937.659
2024-05-31,878.085,933.758
2024-05-30,876.874,934.62
2024-05-29,877.687,933.36
2024-05-28,877.456,933.129
2024-05-27,876.002,933.748
2024-05-24,874.035,931.782
2024-05-23,872.525,929.26
2024-05-22,872.139,929.517
2024-05-21,870.901,927.388
2024-05-20,871.271,927.132
2024-05-17,870.935,927.575
2024-05-16,871.478,928.453
2024-05-15,869.346,928.68
2024-05-14,868.611,926.011
2024-05-13,868.533,922.977
2024-05-10,865.39,922.239
2024-05-09,866.462,924.06
2024-05-08,865.577,923.054
2024-05-07,864.555,922.376
2024-05-06,865.737,923.558
2024-05-03,863.853,921.341
2024-05-02,863.599,918.054
2024-04-30,862.77,920.57
2024-04-29,859.058,915.617
2024-04-26,860.496,918.363
2024-04-25,860.937,916.052
2024-04-24,857.743,915.346
2024-04-23,858.09,915.404
2024-04-22,858.398,915.798
2024-04-19,856.718,912.743
2024-04-18,856.107,910.302
2024-04-17,855.609,913.226
2024-04-16,855.207,912.612
2024-04-15,855.015,912.633
2024-04-12,854.57,913.267
2024-04-11,852.89,910.823
2024-04-10,850.622,907.609
2024-04-09,850.401,907.388
2024-04-08,852.136,908.794
2024-04-05,848.052,905.298
2024-04-04,846.368,899.794
2024-04-03,847.71,905.302
2024-03-27,843.356,901.63
2024-03-26,842.173,900.447
2024-03-25,841.906,900.416
2024-03-22,840.328,898.584
2024-03-21,839.586,897.863
2024-03-20,840.118,898.219
2024-03-19,839.968,898.481
2024-03-18,838.16,896.914
2024-03-15,837.076,895.151
2024-03-14,836.999,897.33
2024-03-13,836.206,894.946
2024-03-12,836.44,894.501
2024-03-11,835.617,894.343
2024-03-08,833.972,891.997
2024-03-07,832.537,891.276
2024-03-06,831.862,889.486
2024-03-05,832.631,892.335
2024-03-01,827.344,885.875
2024-02-29,828.214,887.496
2024-02-28,827.832,888.704
2024-02-27,825.62,884.031
2024-02-26,824.636,883.798
2024-02-23,825.013,883.654
2024-02-22,823.012,879.809
2024-02-21,823.701,882.792
2024-02-20,823.355,882.446
2024-02-19,825.357,882.037
2024-02-16,822.049,879.156
2024-02-15,821.655,880.568
2024-02-14,821.491,880.594
2024-02-09,819.131,877.341
2024-02-08,819.222,878.345
2024-02-07,819.042,878.128
2024-02-06,817.919,877.026
2024-02-05,817.802,876.878
2024-02-02,817.184,876.619
2024-02-01,815.569,871.925
2024-01-31,816.39,872.892
2024-01-30,815.848,875.118
2024-01-29,814.873,873.499
2024-01-26,813.336,871.962
2024-01-25,811.456,870.047
2024-01-24,811.118,870.626
2024-01-23,810.653,869.92
2024-01-22,808.912,868.154
2024-01-19,808.075,868.802
2024-01-18,807.199,866.512
2024-01-17,806.528,865.654
2024-01-16,805.381,864.652
2024-01-15,804.355,863.624
2024-01-12,801.38,860.645
2024-01-11,801.222,860.491
2024-01-10,799.531,857.874
2024-01-09,799.73,859.004
2024-01-08,798.346,857.62
2024-01-05,795.076,852.988
2024-01-04,794.546,853.145
2024-01-03,793.992,852.691
2024-01-02,792.997,851.247
2023-12-29,790.444,847.113
2023-12-28,788.592,844.663
2023-12-27,787.55,843.505
2023-12-26,787.238,843.55
2023-12-22,785.63,843.775
2023-12-21,786.399,842.678
2023-12-20,785.184,841.463
2023-12-19,785,841.279
2023-12-18,784.842,840.228
2023-12-15,782.525,838.184
2023-12-14,778.239,837.908
2023-12-13,773.971,832.637
2023-12-12,452.938,587.568
2023-12-11,382.148,462.399
2023-12-07,365.927,390.973
2023-12-06,361.892,381.312
2023-12-05,361.605,381.001
2023-12-04,360.841,380.37
2023-12-01,359.593,379.175
2023-11-30,358.963,378.371
2023-11-29,358.427,377.835
2023-11-28,358.166,377.549
2023-11-27,357.281,376.689
2023-11-24,355.967,375.375
2023-11-23,355.195,374.509
2023-11-22,354.926,374.33
2023-11-21,354.291,373.714
2023-11-17,352.234,371.549
2023-11-16,351.597,370.94
2023-11-15,351.101,370.509
2023-11-14,348.605,367.928
2023-11-13,348.605,367.928
2023-11-10,348.779,368.053
2023-11-09,348.605,367.928
2023-11-08,348.757,368.052
2023-11-07,348.71,367.867
2023-11-03,348.757,368.052
2023-11-02,348.757,368.052
2023-11-01,348.605,367.928
2023-10-31,348.617,367.94
2023-10-30,348.728,367.884
2023-10-27,348.617,367.932
2023-10-26,348.695,368.1
2023-10-25,348.52,367.723
2023-10-24,348.617,367.932
2023-10-23,348.614,367.905
2023-10-20,348.769,368.03
2023-10-19,347.993,367.168
2023-10-18,348.01,367.142
2023-10-17,348.211,367.591
2023-10-12,348.165,367.455
2023-10-11,347.715,367.006
2023-10-10,347.715,367.006
2023-10-09,347.851,367.183
2023-10-06,347.713,367.017
2023-10-05,347.47,366.645
2023-10-04,347.832,367.092
2023-10-03,347.47,366.645
2023-10-02,347.715,367.006
2023-09-29,346.783,365.6
2023-09-28,347.71,367.006
2023-09-27,347.46,366.639
2023-09-26,347.703,366.979
2023-09-25,347.703,366.979
2023-09-22,347.71,367.006
2023-09-21,347.827,367.092
2023-09-20,347.71,367.006
2023-09-19,347.46,366.639
2023-09-18,347.903,367.092
2023-09-15,347.714,367.006
2023-09-14,347.827,367.092
2023-09-13,347.597,366.717
2023-09-12,347.467,366.727
2023-09-11,347.597,366.717
2023-09-08,347.71,367.006
2023-09-07,347.713,367.001
2023-09-06,347.71,367.006
2023-09-05,347.726,367.006
2023-09-04,347.726,367.006
2023-09-01,347.69,367.019
2023-08-31,347.475,366.627
2023-08-30,347.833,367.088
2023-08-29,347.715,366.999
2023-08-28,346.476,367.001
2023-08-25,347.715,367.001
2023-08-24,347.761,367.366
2023-08-23,347.845,367.114
2023-08-22,347.701,367.034
2023-08-18,347.401,366.568
2023-08-17,347.399,366.553
2023-08-16,347.6,366.887
2023-08-15,347.499,366.627
2023-08-14,347.826,366.176
2023-08-11,285.708,300.009
2023-08-10,284.293,298.811
2023-08-09,283.514,297.815
2023-08-08,282.219,296.52
2023-08-07,280.936,295.25
2023-08-04,277.9,292.202
2023-08-03,277.027,291.328
2023-08-02,275.954,290.269
2023-08-01,274.852,289.167
2023-07-31,273.736,287.92
2023-07-28,272.225,286.565
2023-07-27,271.52,285.798
2023-07-26,270.823,285.196
2023-07-25,270.356,284.654
2023-07-24,270.146,284.366
2023-07-21,268.162,282.544
2023-07-20,267.278,281.66
2023-07-19,266.97,281.352
2023-07-18,266.206,280.59
2023-07-17,265.92,280.32
2023-07-14,264.089,278.465
2023-07-13,263.395,277.773
2023-07-12,262.515,276.894
2023-07-11,262.136,276.531
2023-07-10,261.371,275.811
2023-07-07,259.952,274.386
2023-07-06,259.222,273.712
2023-07-05,258.616,273.322
2023-07-04,257.682,272.056
2023-07-03,257.087,271.552
2023-06-30,255.812,270.162
2023-06-29,254.901,269.239
2023-06-28,254.128,267.88
2023-06-27,253.67,268.091
2023-06-26,253.06,267.221
2023-06-23,251.791,265.952
2023-06-22,251.128,265.306
2023-06-21,250.242,264.452
2023-06-16,247.628,261.585
2023-06-15,246.785,260.915
2023-06-14,245.875,259.847
2023-06-13,245.321,259.128
2023-06-12,244.732,258.517
2023-06-09,243.384,257.331
2023-06-08,242.406,256.093
2023-06-07,241.892,255.356
2023-06-06,241.436,254.704
2023-06-05,240.741,253.831
2023-06-02,238.831,251.996
2023-06-01,238.489,251.438
2023-05-31,237.997,250.37
2023-05-30,237.667,249.786
2023-05-29,237.37,248.678
2023-05-24,234.651,246.59
2023-05-23,233.745,245.533
2023-05-22,233.234,245.021
2023-05-19,231.862,243.594
2023-05-18,231.32,243.016
2023-05-17,230.884,242.653
2023-05-16,230.265,242.366
2023-05-15,230.047,241.386
2023-05-12,228.733,240.069
2023-05-11,228.091,239.419
2023-05-10,227.773,239.592
2023-05-09,227.212,238.894
2023-05-08,227.009,238.179
2023-05-05,225.494,235.984
2023-05-04,224.592,233.721
2023-05-03,223.817,232.882
2023-05-02,223.052,232.088
2023-04-28,221.12,229.632
2023-04-27,220.461,229.118
2023-04-26,219.773,228.43
2023-04-25,219.022,227.678
2023-04-24,218.282,226.938
2023-04-21,216.909,225.578
2023-04-20,216.557,225.213
2023-04-19,215.895,224.552
2023-04-18,215.317,223.73
2023-04-17,214.652,223.39
2023-04-14,213.113,221.769
2023-04-13,212.974,221.622
2023-04-12,212.876,221.459
2023-04-11,212.515,221.17
2023-04-10,212.071,220.727
2023-04-05,210.148,218.775
2023-04-04,209.401,218.028
2023-04-03,208.762,217.433
2023-03-31,207.664,216.237
2023-03-30,207.148,215.805
2023-03-29,206.767,215.496
2023-03-28,206.368,215.029
2023-03-27,205.789,214.451
2023-03-23,204.314,212.97
2023-03-22,204.062,212.723
2023-03-21,203.586,212.241
2023-03-20,203.188,211.848
2023-03-17,201.882,210.535
2023-03-16,201.547,210.208
2023-03-15,201.095,209.623
2023-03-14,200.695,209.356
2023-03-13,200.438,208.883
2023-03-10,199.355,207.957
2023-03-09,198.834,207.494
2023-03-08,198.556,207.217
2023-03-07,198.293,206.895
2023-03-06,198.009,206.67
2023-03-03,197.122,205.724
2023-03-02,196.48,205.371
2023-03-01,196.064,204.726
2023-02-28,195.731,204.393
2023-02-27,195.461,204.122
2023-02-24,194.353,202.875
2023-02-23,193.823,202.476
2023-02-22,193.125,201.726
2023-02-17,191.935,200.552
2023-02-16,191.047,199.704
2023-02-15,190.809,199.465
2023-02-14,190.382,199.032
2023-02-13,190.128,198.784
2023-02-10,188.945,197.602
2023-02-09,188.529,197.185
2023-02-08,188.276,196.933
2023-02-07,188.16,196.742
2023-02-06,187.867,196.523
2023-02-03,186.888,195.404
2023-02-02,186.484,195.14
2023-02-01,186.314,194.955
2023-01-31,185.718,194.356
2023-01-30,185.443,194.074
2023-01-27,184.428,193.059
2023-01-26,183.955,192.743
2023-01-25,183.625,192.256
2023-01-24,183.511,192.083
2023-01-23,183.047,191.678
